# School Lession 13;;
* Kanji;Kana;Meaning

一日;いちにち　/ ついたち; один день　/　первое число
二日;ふつか;2 дня, 2-е число
三日;みっか;3 дня, 3-е число
二、三日;に、さんにち;2-3 дня

大国;たいこく;большая страна
四国;しこく;остров Сикоку
万国;ばんこく;все страны, мир
中国;ちゅうごく;Китай

ロシア人;ろしあじん;русский
あの人;あのひと;тот человек
100人;ひゃくにん;100 человек
人々;ひとびと;люди

生年月日;せいねんがっぴ;дата рождения
五年間;ごねんかん;в течение 5 лет
年金;ねんきん;пенсия
三年生;さんねんせい;третьекурсник
1981年;せんきゅうひゃくはちじゅういちねん;1981 год

大金;たいきん;большие деньги
大きさ;おおきさ;размер, величина
大水;おおみず;наводнение, потоп
大人;おとな;взрослый человек

小金;こがね;мелочь, мелкие деньги
大小;だいしょう;размер, величина, большой и маленький

日本;にほん;Япония
本だな;ほんだな;книжная полка
本日;ほんじつ;сегодня (в официальной речи)

日本中;にほんじゅう;по всей Японии
日中;にっちゅう;днём
中小;ちゅうしょう;средний и мелкий
一日中;いちにちじゅう;весь день, в течение всего дня

部長;ぶちょう;начальник отдела
身長;しんちょう;рост
長時間;ちょうじかん;долгое время
長年;ながねん;долгие годы / много лет

出口;でぐち;выход
日の出;ひので;восход солнца
