# 17 - Vocabulary;;
* Kanji;Kana;Meaning

集まる;あつまる;собирать
教える;おしえる;обучать, объяснять, показывать
助ける;たすける;спасать, выручать, помогать
立つ;たつ;стоять
座る;すわる;сидеть
居る;いる;быть, находиться (одуш.)
入る;はいる;входить
乗る;のる;садиться, ехать  на транспорте
地下鉄に乗る;ちかてつにのる;ехать на метро
バスに乗る;バスにのる;ехать на автобусе
出る;でる;выходить
降りる;おりる;спускаться, выходить  из транспорта
家を出る;いえをでる;выходить из дома
外へ出る;そとへでる;выходить на улицу
地下鉄を出る;ちかてつをでる;выходить из метро
バスを降りる;バスをおりる;выходить из автобуса
病気;びょうき;болезнь
病気になる;びょうきになる;заболеть
治る;なおる;выздоравливать
病気から治る;びょうきからなおる;выздороветь от болезни, поправиться
疲れ;つかれ;усталость
疲れる;つかれる;уставать
休み;やすみ;отдых
休む;やすむ;отдыхать
壊す;こわす;разрушать, ломать
直す;なおす;чинить, исправлять
心配;しんぱい;волнение, беспокойство
心配（を）する;しんぱい（を）する;переживать, беспокоиться
安心;あんしん;спокойствие, успокоение
安心（を）する;あんしん（を）する;успокоиться
持ってくる;もってくる;приносить
持っていく;もっていく;забирать, уносить
呼ぶ;よぶ;звать, вызывать
起きる;おきる;просыпаться, вставать
顔を洗う;かおをあらう;умываться
ニュースを聞く;ニュースをきく;слушать новости
買い物をする;かいものをする;делать покупки
電話をする;でんわをする;звонить
エアコンを付ける;エアコンをつける;включать кондиционер
エアコンを消す;エアコンをけす;выключать кондиционер
開ける;あける;открыть
閉める;しめる;закрыть
急ぐ;いそぐ;спешить
住所;じゅうしょ;адрес
電話番号;でんわばんごう;номер телефона
何も;なにも;ничего (с отрицанием)
どこも;;везде нигде (с отрицанием)
どこへも;;никуда (с отрицанием)
どれぐらい;;сколько примерно?
薬;くすり;лекарство
早く;はやく;пораньше, скорее
すぐ;;сразу
食前;しょくぜん;перед едой
食後;しょくご;после еды
大声で;おおごえで;громким голосом
静かに;しずかに;тихо
ささやき声で;ささやきごえで;шепотом
