# 18 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

女;ジョ、ニョ、ニョウ;おんな;Женщина
男;ダン、ナン;おとこ;Мужчина
母;ボ;はは;Мама
父;フ;ちち;Отец
口;コウ、ク;くち;Рот
目;モク、ボク;め、ま;Глаз
耳;ジ;みみ;Ухо
手;シュ;て、た;Рука
足;ソク;あし, た・りる, た・す;Нога
体;タイ、テイ;からだ;Тело
