# 24 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

雨;ウ;あめ、あま;Дождь
雪;セツ;ゆき;Снег
林;リン;はやし;Лес, роща
森;シン;もり;Лес
花;カ;はな;Цветок
茶;サ、チャ;;Чай
分;ブン、ブ、フン;わ・かる、わ・ける、わ・かれる;Минута
文;ブン、モン;ふみ;Текст
字;ジ;あざ;Буква
電;デン;;Электричество
