# 21 - Vocabulary;;
* Kanji;Kana;Meaning

かぶる;;“надеть” для головных уборов ぼうし
かける;;“надеть” для очков メガネ
つける、する;;“надеть” для аксессуаров アクセサリー : うでとけい， ブローチ， イヤリング， マスク，イヤホーン
はめる、する、つける;;“надеть” для перчаток てぶくろ  и колец ゆびわ
まく、する;;“надеть” для шарфов マフラー
しめる、する;;“надеть” для галстуков ネクタイ
着る;きる;“надеть” для одежды на верхнюю часть туловища
履く;はく;“надеть” для одежды на нижнюю часть туловища или обуви
とる;;“снять” для головных уборов ぼうし, очков メガネ,  для перчаток てぶくろ
外す;はずす;“снять” для аксессуаров アクセサリー : うでとけい， ブローチ， イヤリング， マスク，イヤホーン и колец ゆびわ
脱ぐ;ぬぐ;“снять” для всех видов одежды и обуви
問題;もんだい;проблема, вопрос, задача
宿題;しゅくだい;домашнее задание
複雑な;ふくざつな;сложный, трудный, запутанный
簡単な;かんたんな;легкий, простой, несложный
意味;いみ;смысл, значение
言葉;ことば;слова, язык, речь
漢字;かんじ;иероглиф
以上;いじょう;более, более чем
全部;ぜんぶ;все, всё
全部で;ぜんぶで;в целом, в итоге, всё вместе
人前;ひとまえ;перед людьми
