# School Lession 14;;
* Kanji;Kana;Meaning

水上;すいじょう;на воде, надводный
上り下り;のぼりくだり;подъёмы и спуски

下水;げすい;сточные воды
風下;かざしも;(под)ветренная сторона

今日;こんにち、きょう;сегодня
今年;ことし;этот год
今月;こんげつ;этот месяц
今後;こんご;с этого момента
今頃;いまごろ;примерно в это время (суток)

一月;いちがつ;январь
二月;にがつ;февраль
七月;しちがつ;июль
九月;くがつ;сентябрь
一か月;いっかげつ;1 месяц (по протяженности)
月ロケット;つきロケット;ракета на Луну

四時;よじ;4 часа
七時;しちじ;7 часов
九時;くじ;9 часов
時々;ときどき;иногда
日時;にちじ;дата и время (день и час)

時間;じかん;время
人間;にんげん;человек
間もなく;まもなく;скоро, вскоре

金曜日;きんようび;пятница
金メダル;きんメダル;золотая медаль
お金;おかね ;деньги

人生;じんせい;(человеческая) жизнь
一生;いっしょう;всю жизнь, на протяжении жизни

行;ぎょう;строка
一行;いちぎょう;1 строка
行間;ぎょうかん;межстрочный интервал
行事;ぎょうじ;мероприятие
行先;いきさき / ゆきさき;место назначения, конечный пункт

一見;いっけん;взгляд, быстрый взгляд, первый взгляд
見本;みほん;образец
見出し;みだし;заголовок
