# 21 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

外;ガイ、ゲ;そと、ほか、はず・す、はず・れる;Внешняя сторона, снаружи
気;キ、ケ;;Дух, душа, настроение
先;セン;さき;Ранее, будущий, дальнейший, место назначения, кончик
名;メイ、ミョウ;な;Имя
方;ホウ;かた;Направление
土;ト、ド;つち;Земля
火;カ;ひ、ほ;Огонь
車;シャ;くるま;Машина
糸;シ;いと;Нить, нитка
何;カ;なに、なん;Что?
