# 17 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

山;サン;やま;гора, горы
川;セン;かわ;река
田;デン;た;рисовое поле
水;スイ;みず;вода
米;ベイ、マイ;こめ;рис
竹;チク;たけ;бамбук
木;ボク、モク;き、こ;дерево
石;セキ、シャク、コク;いし;камень
右;ウ、ユウ;みぎ;право, направо, правая сторона
左;サ;ひだり;лево, слева, левая сторона
