# 25 - Vocabulary;;
* Kanji;Kana;Meaning

一日中;いちにちじゅう;в течение дня
お酒;おさけ;сакэ, спиртные напитки, алкоголь
お土産;おみやげ;подарок, сувенир
蛙;かえる;лягушка
怪我;けが;рана, ушиб
魚;さかな;рыба
自動販売機;じどうはんばいき;торговый автомат
自分（で）;じぶん（で）;сам (самостоятельно)
出張;しゅっちょう;командировка
趣味;しゅみ;хобби, увлечение
相談 (する);そうだん (する）;совет (-оваться)
だめ（ダメ）;;нельзя
遅刻（する）;ちこく（する）;опоздание (опаздывать)
天気;てんき;погода
天気予報;てんきよほう;прогноз погоды
入院;にゅういん;госпитализация
花見;はなみ;любование цветами сакуры
美術館;びじゅつかん;музей изобразительных искусств
部活;ぶかつ;кружок (внеклассный)
気が付く;きがつく;заметить, спохватиться
気づく;きづく;заметить, спохватиться
魚を釣る;さかなをつる;рыбачить (ловить рыбу)
電話をする / かける;でんわをする / かける;звонить
登る;のぼる;забираться (на гору)
詳しい;くわしい;подробный, детальный
たまに;;иногда
