# 22 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

一言;ひとこと;одно слово, одним словом
言語;げんご;язык
言葉;ことば;слово, язык, речь
伝言;でんごん;сообщение
国語;こくご;родной язык, японский язык (в речи японцев)
日本語;にほんご;японский язык
語り手;かたりて;рассказчик
会話;かいわ;диалог, беседа
電話;でんわ;телефон
話し合う;はなしあう;обсуждать
話;はなし;разговор, рассказ
読者;どくしゃ;читатель
読書;どくしょ;чтение
読み物;よみもの;вещь для чтения
読み方;よみかた;способ чтения, чтение (например, чтение иероглифа)
聞く;きく;слушать, спрашивать
新聞;しんぶん;газета
聞き手;ききて;слушатель
来年;らいねん;следующий год
来月;らいげつ;следующий месяц
来日;らいにち;приезд, прибытие в Японию
将来;しょうらい;будущее
食事;しょくじ;прием пищи
食べ物;たべもの;еда, пища
和食;わしょく;японская кухня
夕食;ゆうしょく;ужин
休み;やすみ;отдых, выходной, каникулы
休日;きゅうじつ;выходной
夏休み;なつやすみ;летние каникулы
休み中;やすみちゅう;перерыв (табличка на магазине и т.д.)
売買;ばいばい;покупка и продажа, торговля
買い物;かいもの;покупки
買い手;かいて;покупатель
売る;うる;продавать
売店;ばいてん;киоск, маленький магазин
売り手;うりて;продавец
売り切れ;うりきれ;распродано
