# 22 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

言;ゲン、ゴン;こと、い・う;Слово, речь, говорить
語;ゴ;かた・る;Слово, язык
話;ワ;はなし、はな・す;Говорить, рассказ, разговор
読;ドク;よ・む;Читать
聞;ブン、モン;き・く、き・こえる;Слушать, спрашивать
来;ライ;く・る、きた・る、きた・す;Приходить
食;ショク;た・べる、く・う;Есть
休;キュウ;やす・む、やす・まる、やす・める;Отдыхать
買;バイ;か・う;Покупать
売;バイ;う・る、う・れる;Продавать
