# 13 - Kanji;;
* Kanji;オンヨミ;くんよみ

日;ニチ、ジツ;ひ・か
国;コク;くに
人;ジン、ニン;ひと
年;ネン;とし
大;ダイ、タイ;おお・きい、おお
小;ショウ;ちい・さい、お、こ
本;ホン;もと
中;チュウ;なか
長;チョウ;なが・い
出;シュツ、スイ;だ・す / で・る
