# 18 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

女性;じょせい;женщина, женский пол
長女;ちょうじょ;старшая дочь
男女;だんじょ;мужчины и женщины
女の人;おんなのひと;женщина
男性;だんせい;мужчина, мужской пол
長男;ちょうなん;старший сын
男の子;おとこのこ;мальчик
山男;やまおとこ;горный житель, обитатель лесной глуши
母子;ぼし;мать и ребенок
生母;せいぼ;биологическая мать
母国語;ぼこくご;родной язык
お母さん;おかあさん;мама
父母;ふぼ、ちちはは;отец и мать
父子;ふし;отец и ребенок
お父さん;おとうさん;отец, папа
人口;じんこう;население
入口;いりぐち;вход
出口;でぐち;выход
窓口;まどぐち;окошко, стойка (для регистрации и т.д.)
一目;いちもく、ひとめ;один взгляд, первый взгляд
人目;ひとめ;внимание других людей
目上;めうえ;начальство, старший (по положению, званию)
目下;めした;подчиненный, младший (по положению, званию)
耳目;じもく;уши и глаза, внимание
中耳;ちゅうじ;среднее ухо
耳がいい;みみがいい;хороший слух
切手;きって;почтовая марка
手本;てほん;пропись, пример, образец
上手;じょうず;умелый, искусный, ловкий (в чем-либо)
下手;へた;неумелый, неловкий (в чем-либо)
一足;いっそく;1 пара обуви/носков
一足;ひとあし;шаг, 1 шаг
手足;てあし;руки и ноги
足元に;あしもとに;по ногами, у ног
身体;しんたい;тело
人体;じんたい;человеческое тело
大体;だいたい;в общем, в целом, в основном
