# 16 - Kanji;;
* Kanji;オンヨミ;くんよみ

円;エン;まる(い)
前;ゼン;まえ
後;ゴ、コウ;のち、うし(ろ)、あと、おく(れる)
北;ホク;きた
南;ナン、ナ; みなみ
西;セイ、サイ;にし
東;トウ;ひがし
子;シ、ス;こ
学;ガク;まな(ぶ)
高;コウ;たか(い)、たか(まる)、たか(める)
