# School Lession 7;;
* Kanji;Kana;Meaning

赤い;あかい;красный
白い;しろい;белый
黒い;くろい;чёрный
茶色い;ちゃいろい;коричневый
黄色い;きいろい;жёлтый
青い;あおい;синий
熱;あつい;горячий
暑い;あつい;жаркий
厚い;あつい;толстый
暖かい;あたたかい;тёплый
冷たい;つめたい;прохладный
寒い;さむい;холодный
優しい;やさしい;добрый, лёгкий (простой)
厳しい;きびしい;суровый, строгий
面白い;おもしろい;интересный
つまらない;;скучный, бесполезный
辛い;からい;острый (о пище)
甘い;あまい;сладкий
酸っぱい;すっぱい;кислый
大きい;おおきい;большой
小さい;ちいさい;маленький
少ない;すくない;малочисленный
おかしい;おかしい;смешной, странный
すごい;すごい;классный
広い;ひろい;широкий, просторный
狭い;せまい;маленький, тесный (про помещение)
明るい;あかるい;светлый
遅い;おそい;поздний, медленный
涼しい;すずしい;прохладный
軽い;かるい;теплый
重い;おもい;тяжелый
古い;ふるい;старый
新しい;あたらしい;новый

安全な;あんぜんな;безопасный
色々な;いろいろな;разнообразный
簡単な;かんたんな;простой
急な;きゅうな;срочный, неотложный
嫌いな;きらいな;нелюбимый
綺麗な;きれいな;красивый
元気な;げんきな;бодрый, здоровый
静かな;しずかな;тихий
にぎやかな;にぎやかな;шумный
上手な;じょうずな;умелый, искусный
下手な;へたな;неумелый
親切な;しんせつな;добрый
しんぷるな;シンプルな;простой

番号;ばんごう;номер
電話番号;でんわばんごう;номер телефона
何番;なんばん;какой номер?
明日;あした;завтра
またね;;пока!
またあした;;до завтра!
