# 25 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

毎;マイ;;Каждый
校;コウ;;Школа, редакция
天;テン;あめ、あま;Небо, небеса
明;メイ、ミョウ;あ・かり、あか・るい、あ・ける、あ・く、あ・かす、あ・くる;Светлый
白;ハク、ビャク;しろ・い、しろ、しら;Белый
自;ジ、シ;みずか・ら;Сам
好;コウ;この・む、す・く;Нравиться
肉;ニク;;Мясо
牛;ギュウ;うし;Корова
馬;バ;うま、ま;Лошадь
鳥;チョウ;とり;Птица
魚;ギョ;さかな、うお;Рыба
