# School Lession 5;;
* 文法;Noun;?Romanji;Meaning

朝;あさ;аса;утро
昼;ひる;хиру;день, обеденное время
夜;よる;ёру;вечер
晩;ばん;бан;вечер
今夜;こんや;конъя;сегодняшний вечер
昨夜;ゆうべ;ю:бэ;вчерашний вечер
一昨日;おととい;ототой;позавчера
昨日;きのう;кино:;вчера
今日;きょう;кё:;сегодня
明日;あした;асита;завтра
明後日;あさって;асаттэ;послезавтра

天気;てんき;тэнки;погода
勉強;べんきょう;бэнкё:;занятие, учёба
文学;ぶんがく;бунгаку;литература
専門;せんもん;сэммон;специальность
経済;けいざい;кэйдзай;экономика
写真;しゃしん;сясин;фотография

面白い;おもしろい;омосирой;интересный
つまらない;つまらない;цумаранай;скучный
やさしい;;ясасий;легкий, простой, добрый (о человеке)

難しい;むずかしい;мудзукасий;сложный
大きい;おおきい;о:кий;большой
小さい;ちいさい;тиисай;маленький
広い;ひろい;хирой;широкий, просторный
狭い;せまい;сэмай;тесный, маленький (о помещении)
高い;たかい;такай;высокий, дорогой
低い;ひくい;хикуй;низкий
安い;やすい;ясуй;дешевый
近い;ちかい;тикай;близкий
いい、よい;;ий, ёй;хороший
悪い;わるい;варуй;плохой
明るい;あかるい;акаруй;светлый
黒い;くろい;курой;чёрный
短い;みじかい;мидзикай;короткий
長い;ながい;нагай;длинный

少し;すこし;сукоси;немного
ちょっと;;тётто;немного, немножко, чуть-чуть
とても;;тотэмо;очень
大変;たいへん;тайхэн;ужасно (очень)
あまり;あまり+отрицание;амари+отрицание;не совсем
少しも;すこしも+отрицание;cукоси мо + отрицание;нисколько, ничуть
