# School Lession 11;;
* Kanji;Kana;Meaning

~の上に;~のうえに;сверху
~の下に;~のしたに;снизу
~の前に;~のまえに;перед
~の後に;~のうしろに;позади
~の中に;~のなかに;внутри
~の側に;~のそばに;возле, рядом, сбоку
~の外に;~のそとに;снаружи
~の間に;~のあいだに;между
~の隣に;~のとなりに;рядом
出来る;できる;мочь, уметь
分かる;わかる;понимать
飛ぶ;とぶ;летать, прыгать
働く;はたらく;работать
休む;やすむ;отдыхать (+ пропускать)
壊す;こわす;ломать
壊れる;こわれる;ломаться
受ける;うける;1. получать, 2. сдавать экзамен
繰り返す;くりかえす;повторять
鶴;つる;журавль
大雨;おおあめ;ливень
湖;みずうみ;озеро
橋;はし;мост
お箸;おはし;палочки для еды
コーヒー;;кофе
喫茶店;きっさてん;кафе
駅;えき;станция
お寺;おてら;храм
スタジアム;;стадион
図書館;としょかん;библиотека
本屋;ほんや;книжный магазин
売り場;うりば;отдел (в магазине)
新聞;しんぶん;газета
雑誌;ざっし;журнал
本;ほん;книга
手帳;てちょう;блокнот
ノート;;тетрадь
切符;きっぷ;билет
プレゼント;;подарок
読書;どくしょ;чтение
話;はなし;разговор
ニュース;;новости
仕事;しごと;работа
お仕事;おしごと;Ваша работа
会話;かいわ;диалог
質問;しつもん;вопрос
テスト;;тест
試験;しけん;экзамен
よく;;часто
時々;ときどき;иногда
いつも;;всегда
あまり;;не очень, почти не
全然;ぜんぜん;совсем не
