# 21 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

外（国）人;がい（こく）じん;иностранец
外来語;がいらいご;заимствованные слова
外出;がいしゅつ;выход, отлучение (из дома, с работы)
以外;いがい;помимо, кроме
人気;にんき;популярность
気分;きぶん;настроение, самочувствие
本気;ほんき;серьезное отношение, серьезность
電気;でんき;электричество
先日;せんじつ;недавно, на днях
先月;せんげつ;прошлый месяц
先々月;せんせんげつ;позапрошлый месяц
先生;せんせい;учитель
人名;じんめい;имя человека
名人;めいじん;мастер своего дела, виртуоз
名物;めいぶつ;(местная) достопримечательность, известный, предмет / продукт
名前;なまえ;имя
一方;いっぽう;одна сторона, с другой стороны
方言;ほうげん;диалект
方法;ほうほう;способ, метод
仕方;しかた;способ, манера
土曜日;どようび;суббота
土木;どぼく;гражданское строительство
土人;どじん;местный человек, абориген
火;ひ;огонь, костер
火事;かじ;пожар
火山;かざん;вулкан
火曜日;かようび;вторник
電車;でんしゃ;поезд
水車;すいしゃ;мельница
発車;はっしゃ;отправление
人力車;じんりきしゃ;рикша
糸口;いとぐち;конец нити, начало
生糸;きいと;шелк-сырец
毛糸;けいと;шерстяная нить
何曜日;なんようび;какой день недели?
何日;なんにち;которое число? сколько дней?
何時;なんじ;сколько часов?
何時間;なんじかん;сколько часов (по протяженности)?
