# 24 - Vocabulary;;
* Kanji;Kana;Meaning

# Существительные;;
うた;歌;песня
くすり;薬;лекарство
さくぶん;作文;сочинение
でんげん (～をつける、～をきる );電源 (～をつける、～をきる );электричество/свет (включить, выключить)
まちがい;間違い;ошибка
じゅぎょう;授業;занятие, урок
しゅくだい;宿題;домашнее задание
ゲーム;;компьютерная игра
ジェイロック;;японская рок-музыка
かしゅ;歌手;певец, певица
くだもの;果物;фрукты
やさい;野菜;овощи
むら;村;деревня
うし;牛;корова
くま;熊;медведь
とら;虎;тигр
けんこう;健康;здоровье
# Глаголы;;
おもう;思う;думать, считать, полагать
かんがえる;考える;думать, размышлять
(～に) あう;(～に) 会う;встречаться с кем-либо, видеться
ぬる;塗る;красить
ヨガをする;;заниматься йогой
さく;咲く;цвести
すてる;捨てる;выбрасывать
つく;着く;прибывать
わらう;笑う;смеяться
なおす;直す;исправлять, приводить в порядок
かぞえる;数える;считать, подсчитывать
はしる;走る;бежать, идти (о поезде, судне и т.д.)
たてる;建てる;строить, возводить
しけんをうける;試験を受ける;сдавать экзамен
せんたくする;洗濯する;стирать
そうじする;掃除する;делать уборку
ビタミンをとる;ビタミンを取る;принимать витамины
はをみがく;歯を磨く;чистить зубы
# Другая лексика;;
おいしい;美味しい;вкусный
まずい;不味い;невкусный  (разговорное слово)
あまい;甘い;сладкий
すっぱい;酸っぱい;кислый
にがい;苦い;горький
からい;辛い;острый
はやく;早く;рано
もうすぐ;;уже вот-вот, совсем скоро
