# School Lession 6;;
* 文法;Noun;?Romanji;Meaning

日曜日;にちようび;нитиё:би;воскресенье
月曜日;げつようび;гэцуё:би;понедельник
火曜日;かようび;каё:би;вторник
水曜日;すいようび;суйё:би;среда
木曜日;もくようび;мокуё:би;четверг
金曜日;きんようび;кинъё:би;пятница
土曜日;どようび;доё:би;суббота
何曜日;なんようび;нанъё:би;какой день недели?

一昨日;おととい;ототой;позавчера
昨日;きのう;кино:;вчера
今日;きょう;кё:;сегодня
明日;あした;асита;завтра
明後日;あさって;асаттэ;послезавтра
今朝;けさ;кэса;сегодняшнее утро
今晩;こんばん;комбан;сегодняшний вечер
毎朝;まいあさ;майаса;каждое утро
毎晩;まいばん;майбан;каждый вечер
毎日;まいにち;майнити;каждый день
週;しゅう;сю:;неделя
毎週;まいしゅう;майсю:;каждая неделя
先々週;せんせんしゅう;сэнсэнсю:;позапрошлая неделя
先週;せんしゅう;сэнсю:;прошлая неделя
今週;こんしゅう;консю:;эта неделя
来週;らいしゅう;райсю:;следующая неделя
再来週;さらいしゅう;сарайсю:;неделя после следующей
四季;しき;сики;времена года
冬;ふゆ;фую;зима
春;はる;хару;весна
夏;なつ;нацу;лето
秋;あき;аки;осень

休み;やすみ;ясуми;выходной, отдых
昼休み;ひるやすみ;хируясуми;обеденный перерыв
冬休み;ふゆやすみ;фуюясуми;зимние каникулы
春休み;はるやすみ;харуясуми;весенние каникулы
夏休み;なつやすみ;нацуясуми;летние каникулы
秋休み;あきやすみ;акиясуми;осенние каникулы
パーティー;;па:ти:;вечеринка
道;みち;мити;путь, дорога
試験;しけん;сикэн;экзамен
テスト;;тэсуто;тест
結婚;けっこん;кэккон;свадьба
結婚式;けっこんしき;кэкконсики;свадебная церемония
誕生日;たんじょうび;тандзё:би;день рождения
会議;かいぎ;кайги;совещание
仕事;しごと;сигото;работа
プレゼント;;пурэдзэнто;подарок


親戚;しんせき;синсэки;родственники (свои)
祖父;そふ;софу;дедушка
祖母;そぼ;собо;бабушка
両親;りょうしん;рё:син;родители
父;ちち;тити;отец
母;はは;хаха;мать
叔父;おじ;одзи;дядя
叔母;おば;оба;тётя
兄妹;きょうだい;кё:дай;братья и сёстры
姉;あね;анэ;сестра
兄;あに;ани;брат
弟;おとうと;ото:то;младший брат
妹;いもうと;имо:то;младшая сестра
夫;おっと;отто;муж
妻;つま;цума;жена
息子;むすこ;мусуко;сын
娘;むすめ;мусумэ;дочь
ご親戚;ごしんせき;го-синсэки;родственники (чужие или обращение)
お爺さん;おじいさん;одзи:сан;дедушка
お婆さん;おばあさん;оба:сан;бабушка
ご両親;ごりょうしん;го-рё:син;родители
お父さん;おとうさん;ото:сан;отец
お母さん;おかあさん;ока:сан;мать
叔父さん;おじさん;одзисан;дядя
叔母さん;おばさん;обасан;тётя

ご兄妹;ごきょうだい;го-кё:дай;братья и сёстры
お姉さん;おねえさん;онэ:сан;сестра
お兄さん;おにいさん;они:сан;брат
弟さん;おとうとさん;ото:то-сан;младший брат
妹さん;いもうとさん;имо:то-сан;младшая сестра
ご主人;ごしゅじん;го-сюдзин;муж
奥さん;おくさん;окусан;жена
息子さん;むすこさん;мусуко-сан;сын
娘さん;むすめさん;мусумэ-сан;дочь
