# 17 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

火山;かざん;вулкан
小山;こやま;горка, холм
山々;やまやま;горы
山水;さんすい;пейзаж, ландшафт
川上;かわかみ;верховье реки
川下;かわしも;низовье реки
アンガラ川;アンガラがわ;река Ангара
中川;なかがわ;Накагава (японская фамилия)
水田;すいでん;заливное рисовое поле
田中;たなか;Танака (японская фамилия)
山田;やまだ;Ямада (японская фамилия)
本田;ほんだ;Хонда (японская фамилия)
水曜日;すいようび;среда
お水;おみず;вода
水嵩;みずかさ;уровень воды (в реке)
白米;はくまい;очищенный рис
新米;しんまい;рис нового урожай
南米;なんべい;Южная Америка
日米;にちべい;Япония и Америка, японо-американский
竹林;ちくりん、たけばやし;бамбуковая роща
竹刀;しない;бамбуковая рапира (для кэндо)
竹のつえ;たけのつえ;бамбуковая палка, трость
木曜日;もくようび;четверг
木々;きぎ;деревья
三木;みき;Мики (японская фамилия)
石けん;せっけん;мыло
小石;こいし;камешек, щебень
石工;いしく;каменщик
右方;うほう;правая сторона
右手;みぎて;правая рука
右足;みぎあし;правая нога
左右;さゆう;левая и правая стороны, обе стороны, контроль
左方;さほう;левая сторона
左手;ひだりて;левая рука
左足;ひだりあし;левая нога
