# School Lession 3;;
* 文法;Noun;?Romanji;Meaning

ホテル;;хотэру;отель
レストラン;;рэсуторан;ресторан
病院;びょういん;бё:ин;больница
医者;いしゃ;ися;врач
スーパー;;су:па:;супермаркет
店員;てんいん;тэнъин;продавец
トイレ;;тоирэ;туалет
保育園;ほいくえん;хоикуэн;детский сад
空港;くうこう;ку:ко:;аэропорт
飛行機;ひこうき;хико:ки;самолёт
駅;えき;эки;станция
電車;でんしゃ;дэнся;электричка
地下鉄;ちかてつ;тикатэцу;метро
銀行;ぎんこう;гинко:;банк
銀行員;ぎんこういん;гинко:ин;банкир
会社;かいしゃ;кайся;фирма
会社員;かいしゃいん;кайсяин;сотрудник фирмы

椅子;いす;ису;стул
机;つくえ;цукуэ;стол
棚;たな;тана;полка
本;ほん;хон;книга

教科書;きょうかしょ;кё:касё;учебник
写真;しゃしん;сясин;фотография
雑誌;ざっし;дзасси;журнал
新聞;しんぶん;симбун;газета
ノート;;но:то;тетрадь
ペン;;пэн;ручка
鉛筆;えんぴつ;эмпицу;карандаш

ジュース;;дзю:су;сок
お酒;おさけ;о-сакэ;алкоголь
日本酒;にほんしゅ;нихонсю;японское саке
ビール;;би:ру;пиво
飴;あめ;амэ;леденец
蜜柑;みかん;микан;мандарин
林檎;りんご;ринго;яблоко
梨;なし;наси;груша
葡萄;ぶどう;будо:;виноград
オレンジ;;орэндзи;апельсин
バナナ;;банана;банан
苺;いちご;итиго;клубника
メロン;;мэрон;дыня
西瓜;すいか;суйка;арбуз
トマト;;томато;помидор
胡瓜;きゅうり;кю:ри;огурец
キャベツ;;кябэцу;капуста
人参;にんじん;ниндзин;морковь
大蒜;にんにく;ниннику;чеснок
玉葱;たまねぎ;таманэги;лук
茄子;なす;насу;баклажан

猫;ねこ;нэко;кошка
犬;いぬ;ину;собака
キリン;;кирин;жираф
象;ぞう;дзо:;слон
虎;とら;тора;тигр
亀;かめ;камэ;черепаха

鞄;かばん;кабан;сумка, портфель
電話;でんわ;дэнва;телефон (стационарный)
携帯電話;けいたいでんわ;кэйтай дэнва;мобильный телефон
名刺;めいし;мэйси;визитная карточка
眼鏡;めがね;мэганэ;очки
財布;さいふ;сайфу;кошелёк

百;ひゃく;хяку;сто
千;せん;сэн;тысяча
万;まん;ман;десять тысяч
億;おく;оку;сто миллионов

これ;;корэ;это
それ;;сорэ;это,то
あれ;;арэ;то
どれ;;дорэ;которое?

この;;коно;этот
その;;соно;этот, тот
あの;;ано;тот
どの;;доно;который?

ここ;;коко;здесь
そこ;;соко;здесь, там
あそこ;;асоко;там
どこ;;доко;где?
