# 25 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

毎年;まいとし;каждый год, ежегодно
毎月;まいつき;каждый месяц, ежемесячно
毎週;まいしゅう;каждую неделю
毎日;まいにち;каждый день
学校;がっこう;школа
校長;こうちょう;директор школы
小学校;しょうがっこう;начальная школа
中学校;ちゅうがっこう;средняя школа
天気;てんき;погода
天文学;てんもんがく;астрономия
天国;てんごく;рай
天の川;あまのがわ;Млечный путь
明日;みょうにち、あす、あした;завтра
明くる日;あくるひ;следующий день
明けましておめでとうございます！;あけましておめでとうございます！;С Новым Годом!
年が明ける;としがあける;начинается новый год
梅雨が明けた;つゆがあけた;закончился сезон дождей
白紙;はくし;лист белой бумаги
白人;はくじん;европеец, "белый" человек
自白;じはく;признание
空白;くうはく;пробел, пустота
自分;じぶん;сам, собственная личность, я
自身;じしん;сам
自体;じたい;сам по себе, собственно, свое тело
自らの手で;みずからのてで;своими руками
好物;こうぶつ;любимое блюдо
物好き;ものずき;любопытство, прихоть
大好き;だいすき;очень любить, очень нравиться
大好きな;大好きな;очень нравящийся, очень любимый
好き嫌い;すききらい;вкус, предпочтение (напр., в еде)
肉屋;にくや;мясная лавка
肉体;にくたい;тело, плоть
肉親;にくしん;кровное родство
牛肉;ぎゅうにく;говядина
豚肉;ぶたにく;свинина
鳥肉;とりにく;куриное мясо
牛肉;ぎゅうにく;говядина
野牛;やぎゅう;бизон
子牛;こうし;теленок
馬車;ばしゃ;повозка, экипаж, карета, телега
馬力;ばりき;лошадиная сила
竹馬;たけうま、ちくば;бамбуковые ходули  (детская игра)
白鳥;はくちょう;лебедь
野鳥;やちょう;дикая птица
一石二鳥;いっせきにちょう;двух птиц одним камнем
鳥居;とりい;Тории, храмовые ворота
魚類;ぎょるい;рыбы, виды рыб
金魚;きんぎょ;золотая рыбка
魚肉;ぎょにく;мясо рыбы
魚市場;うおいちば;рыбный рынок
魚屋;さかなや;рыбная лавка
