# Kanji 041-050;;;
* Kanji;Onyomi;Kunyomi;?Description
女;おんな;;
父;ちち;;
母;はは;;
友;とも;;
先;さき;セン;
生;う（まれます）;セイ;
学;ガク;;（＝learn, study）
校;コウ;;（＝school）
何;なに、なん;;
時;とき;ジ;
