# Kanji 071-080;;;
* Kanji;Onyomi;Kunyomi;?Description
語;;ゴ;（＝language）
入;い（れます）、はい（ります）;;
出;だ（します）、で（ます）;;
雨;あめ;;
東;ひがし;トウ;east
西;にし;;west
南;みなみ;;south
北;きた;;north
長;なが（い）;;
高;たか（い）;;
