# Use of Kanji 021-030;;
* Kanji;Kana;Translation;?Example
三万円(えん);さんまんえん;thirty thousand yen;このバッグは三万円(えん)でした。

百円;ひゃくえん;one hundred yen;これは三つで百円です。

行きます;いきます;go;いっしょにレストランに行きませんか。
銀行;ぎんこう;bank;これから銀(ぎん)行に行きます。

来ます;きます;come;六月六日にアメリカから東(とう)京(きょう)に来ました。
来月;らいげつ;next month;来月、一人でカナダに行きます。

休みます;やすみます;rest,have a day off,be absent;すこし休みましょう。/ 三日から七日まで休みます。/ あしたのレッスンは休みます。
休み;やすみ;holiday, vacation;休みにオーストラリアに行きます。

見ます;みます;see, look, watch;ふじさんを見ました。/これを見てください。/テレビでそのニュースを見ました。
見せます;みせます;show;メニューを見せてください。

今;いま;now;今、ビデオを見ています。
今月;こんげつ;this month;今月の十日に東(とう)京(きょう)に来ました。
今日;きょう;today;今日のレッスンはおもしろかったです。

大きい;おおきい;big;大きい木があります。
大学;だいがく;university;イギリスの大学(がく)に行きたいです。
大人;おとな;adult;大人は千八百円です。

小さい;ちいさい;small;あの小さいカップは五百円です。
小学校;しょうがっこう;elementary school;あれは小学(がっ)校(こう)です。

上;うえ;on,above;テーブルの上にお金があります。, まどの上に時(と)計(けい)があります。
上手;じょうず;good at, skillful;あの人はゴルフが上手(ず)です。
