# Use of Kanji 101-110;;
* Kanji;Kana;Translation;?Example

歩きます;あるきます;walk;きのう会社まで歩いて行きました。
走ります;はしります;run;時間がありませんから、走りましょう。
住みます;すみます;live;私は学校の近くに住んでいます。
空;そら;sky;今日は空がきれいですね。
週;しゅう;week;その週は、日本にいませんでした。
来週;らいしゅう;next week;来週、私の家に来てください。
今週;こんしゅう;this week;今週は雨が多かったです。
二週間;にしゅうかん;two weeks;二週間会社を休みました。
魚;さかな;fish;魚りょうりを食べました。
魚屋;さかなや;fish store;魚屋は花屋のとなりです。
耳;みみ;ear;うさぎ(rabbit)は耳が長いです。
銀;ぎん;silver;銀のスプーンを買いました。
銀行;ぎんこう;bank;銀行は三時までです。
道;みち;road; street;家の前の道は広いです。
駅;えき;station;私の家は駅から歩いて十分です。
