# Use of Kanji 091-100;;
* Kanji;Kana;Translation;?Example

朝;あさ;morning;朝は天気がよかったです。
毎朝;まいあさ;every morning;毎朝、花に水をあげます。

今朝;けさ;this morning;今朝は雨でした。

昼;ひる;noon;あしたの昼に電話します。
昼ごはん;ひるごはん;lunch;昼ごはんを食べましたか。

夕がた;ゆうがた;evening;今日の夕がたに行きます。

夜;よる;night;きのうの夜は何時にねましたか。

私;わたし;I;私は今日時間があります。

家;いえ;house;私の家は六(ろっ)本(ぽん)木(ぎ)にあります。
家族;かぞく;family;私は六人家族です。

会います;あいます;see (a person);あした、友だちに会います。
会社;かいしゃ;company;土よう日も会社に行きます。

店;みせ;store;この店で本を買いました。

飲みます;のみます;drink;コーヒーを飲みに行きませんか。
