# Use of Kanji 001-010;;
* Kanji;Kana;Translation;?Example
人;ひと;person;ここは人がおおいですね。
カナダ人;カナダじん;Canadian;その人はカナダ人です。
三(さん)人;さんにん;three people;こどもが三人います。

その日;そのひ;that day;すみません。その日はいそがしいです。
三日;みっか;the third day of the month;きょうは三日です。
十五日;じゅうごにち;the fifteenth day of the month;あしたは十五日です。
日よう日;にちようび;Sunday;日よう日はやすみです。

一つ;ひとつ;one;すみません。それを一つください。
一人り;ひとり;one person;一人でホンコンにいきます。
一日;いちにち;one day;ホンコンに一日います。
一日;ついたち;the first day of the month;一日にホンコンにいきます。
一分;いっぷん;one minute;ここからホテルまで一分ぷんです。

二つ;ふたつ;two;コーヒーを二つください。
二日;ふつか;two days;パリに二日いました。/the second day of the month/きょうは二日です。
二人り;ふたり;two people;二人でいきます。
二時間;にじかん;two hours;テニスを二時間しました。

三つ;みっつ;three;ハンバーガーを三つとポテトを二つください。
三日;みっか;three days;ローマに三日いました。/ the third day of the month/三日にロンドンにいきます。
三人;さんにん;three people;かぞくは三人です。

四つ;よっつ;four;このパンを四つください。
四日;よっか;four days;カナダに四日います。/ the fourth day of the month/きょうは四日です。
四回;よんかい;four times;ディズニーランドに四回いきました。
四人;よにん;four people;かぞくは四人です。
四月;しがつ;April;きょうは四月がつ四日です。

五つ;いつつ;five;チーズバーガーを五つください。
五日;いつか;five days;サンフランシスコに五日いました。/ the fifth day of the month/きょうは五日です。
五人;ごにん;five people;五人でキャンプにいきます。

六つ;むっつ;six;ビールを六つください。
六日;むいか;six days;インドに六日いました。/ the sixth day of the month/きょうは六日です。
六人;ろくにん;six people;かぞくは六人です。

七つ;ななつ;seven;コーラを七つください。
七回;ななかい;seven times;ディズニーシーに七回いきました。
七日;なのか;seven days;ロンドンに七日いました。/ the seventh day of the month/七日はやすみです。
七人;しちにん;seven people;かぞくは七人です。

八つ;やっつ;eight;このりんごを八つください。
八日;ようか;eight days;シンガポールに八日いました。/ the eighth day of the month/ 八日はやすみです。
八人;はちにん;eight people;かぞくは八人います。
