# Use of Kanji 081-090;;
* Kanji;Kana;Translation;?Example

口;くち;mouth;あの男の人は口が大きいです。
入口;いりぐち;entrance;右に入口があります。
出口;でぐち;exit;左に出口があります。

目;め;eye;あの女の人は目が大きいです。

手;て;hand/arm;手をあらいたいです。/ あの男の人は手が長いです。
切手;きって;stamp;五十円切手を三まいください。
上手;じょうず;skillful;母はテニスがとても上手です。
下手;へた;poor, unskillful;父はゴルフが下手です。

足;あし;foot/leg;足のサイズは何センチですか。/ あの男の子は足が長いです。

近い;ちかい;close;中国と日本は近いです。
近く;ちかく;neighborhood;この近くにコンビニがありますか。


有ります;あります;exist;山に木がたくさん有ります。（「あります」はあまり漢(かん)字(じ)で書きません。よくひらがなで書きます）
有名;ゆうめい;famous;有名なレストランに行きました

花;はな;ｆlower;あの川の近くに白い花がたくさんあります。
花屋;はなや;ｆlower shop;花屋(や)でアルバイトをしています。
花火;はなび;fireworks;今年は花火を見ましたか。

赤い;あかい;red (adj.);赤い花と白い花、どちらがすきですか。
赤;あか;red (noun);わたしは赤がすきです。
赤ちゃん;あかちゃん;baby;赤ちゃん、かわいいですね。

紙;かみ;paper;すみません。紙を一まいください。
手紙;てがみ;letter;外国の友だちに毎月手紙を書きます。

買います;かいます;buy;今月、大きいテレビを買いました。
買いもの;かいもの;shopping;母は買いものに行きました。
