# Use of Kanji 071-080;;
* Kanji;Kana;Translation;?Example

日本語;にほんご;Japanese (language);日本語で書いてください。
英語;えいご;English (language);電車の中で英語の新(しん)聞を読みます

入れます;いれます;put in;ここにお金を入れてください。
入ります;はいります;enter;入ってもいいですか。

出します;だします;take out/send/hand in;ポケットからお金を出します。 / あした手(て)紙(がみ)を出します。 / レポートを出してください。
出ます;でます;leave;電車は九時に出ます。
出かけます;でかけます;go out;田中さんはもう出かけましたよ。

雨;あめ;rain;今日の午後は雨です。

東;ひがし;east;こちらが東です。
東京;とうきょう;Tokyo;東京は人がたくさんいます

西;にし;west;あちらが西です。

南;みなみ;south;そちらが南です。

北;きた;north;どちらが北ですか。

長い;ながい;long;三時間のレッスンは長いです。

高い;たかい;high/expensive;あのビルは高いです。 / このレストランは高いです。
