# Use of Kanji 061-070;;
* Kanji;Kana;Translation;?Example

天気;てんき;weather;今日はいい天気ですね。

電気;でんき;electricity;電気をつけましょうか。
電車;でんしゃ;train;毎日、電車で学校に行きます。

話します;はなします;speak/talk, tell;会(かい)社(しゃ)で日本語(ご)を話します。 / 友だちに話します。
話;はなし;story;おもしろい話ですね。
電話;でんわ;telephone;今日母に電話しました。

食べます;たべます;eat;このケーキを食べてもいいですか。
食堂;しょくどう;dining room;会(かい)社(しゃ)の食堂(どう)でカレーを食べました。

聞きます;ききます;hear/listen/ask;友だちにその話を聞きました。/ 車の中でラジオを聞きます。/ すみません。ちょっと聞いてもいいですか。
新聞;しんぶん;newspaper;これは三日前の新(しん)聞です。

書きます;かきます;write;ここに名前を書いてください。

読みます;よみます;read;毎日電車の中で新(しん)聞を読みます。

国;くに;country;あなたの国は、今何時ですか。
中国;ちゅうごく;China;中国に行きたいです。

外;そと;outside;天気がいいですから、外で食べましょう。
外国;がいこく;foreign country;来月の休みに外国に行きます。
外国人;がいこくじん;foreigner;外国人の友だちがたくさんいます。
