# Use of Kanji 031-040;;
* Kanji;Kana;Translation;?Example

下;した;under;テーブルの下にねこがいます。
地下鉄;ちかてつ;subway, underground;地下鉄で行きましょう。

中;なか;inside;ポケットの中に五万円あります。
中国;ちゅうごく;China;中国に行きたいです。
一日中;いちにちじゅう;all day long;休みの日は一日中テレビを見ています。

右;みぎ;right;右にまがってください。

左;ひだり;left;左にまがってください。

山;やま;mountain;今月の休みに山に行きます。
ふじ山;ふじさん;Mt. Fuji;来月、ふじ山に行きます。

川;かわ;river;きれいな川ですね。

白い;しろい;white (adj.);白いコートは三万四千円です。
白;しろ;white (noun);わたしは白がすきです。

本;ほん;book;この本は千二百円です。
九本;きゅうほん;nine pieces (long object);たばこを九本すいました。
日本;にほん;Japan;六月にイタリアから日本に来ました。

子ども;こども;child;中(なか)川(がわ)さんは六さいの子どもが一人います。
子どもたち;こどもたち;children;子どもたちは川に行きました。
この子;このこ;this child;この子は四さいです。
