# Use of Kanji 011-020;;
* Kanji;Kana;Translation;?Example
九つ;ここのつ;nine;コーヒーを九つください。
九日;ここのか;nine days;イタリアに九日いました。/ the ninth day of the month/九日はやすみです。
九人;きゅうにん;nine people;かぞくは九人です。
九月;くがつ;September;きょうは九月九日です。

十;とお;ten;「いくつありますか」、「一つ、二つ、・・・・、九つ、十」
十日;とおか;ten days;オーストラリアに十日いました。/the tenth day of the month/十日はやすみです。
十人;じゅうにん;ten people;かぞくは十人です。

月;つき;moon,month;月がとてもきれいです。/月に一回かい サッカーをします。
月よう日;げつようび;Monday;月よう日にカナダにいきます。
一か月;いっかげつ;one month;ドイツに一か月いました。
四月;しがつ;April;四月四日に東(とう)京(きょう)にきました。

火;ひ;fire;火はあぶないです。
火よう日;かようび;Tuesday;火よう日にどこにいきましたか。

水;みず;water;すみません。水をください。
水よう日;すいようび;Wednesday;十三日は水よう日です。

木;き;tree,wood;木の上(うえ)にカラス(crow)がたくさんいます。/この木のテーブルはいくらですか。
木よう日;もくようび;Thursday;二十四日は木よう日です。

お金;おかね;money;すみません。お金をかしてください。
金;きん;gold;これは金のネックレスです。
金よう日;きんようび;Friday;レッスンは火よう日と金よう日です。

土よう日;どようび;Saturday;土よう日にテニスをします。

千円;せんえん;one thousand yen;あのレストランのランチは千円(えん)です。
