# Use of Kanji 041-050;;
* Kanji;Kana;Translation;?Example

女;おんな;woman;あの女の人はフランス人です。
女の子;おんなのこ;girl;五さいの女の子が一人います。

父;ちち;(my) father;父はフランスにいます。
お父さん;おとうさん;(someone’s) father;お父さんはいつ日本に来ましたか。

母;はは;(my) mother;母のたんじょう日にプレゼントをあげました。
お母さん;おかあさん;(someone’s) mother;お母さんはいつ日本に来ますか。

友だち;ともだち;friend;今日、友だちにメールしました。

先に;さきに;earlier;お先にしつれいします。
先月;せんげつ;last month;先月、友だちとミュージカルを見ました。

生まれます;うまれます;be born;先月、子どもが生まれました。
先生;せんせい;teacher;あの女の先生はとてもやさしいです。

学生;がくせい;student;わたしは学生ですから、あまりお金がありません。
小学生;しょうがくせい;elementary school children;この子は小学生です。
中学生;ちゅうがくせい;junior high school student;中学生の子どもが一人います。
大学;だいがく;university, college;スペインの大学に行きました。
大学生;だいがくせい;university student;大学生はよくアルバイトをします。

学校;がっこう;school;この学校はあたらしいです。
小学校;しょうがっこう;elementary school;うちのちかくに小学校があります。
中学校;ちゅうがっこう;junior high school;あの人は中学校の先生です。

何;なに、なん;what;休みの日に何をしますか。/ これは何ですか。
何+[noun];なに+[noun];what;あの人は何人(じん)ですか。
何+[counter];なん+[counter];how many…;パーティーに何人(にん)来ましたか。

時;とき;when, time;子どもの時、あまりテレビを見ませんでした。/ その時、わたしは十五さいでした。
時々;ときどき;sometimes;時々コンビニで水をかいます。
一時;いちじ;one o’clock;一時に学校に来てください。
時計;とけい;clock, watch;この時計(けい)は四万七千円でした。
