# 09 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

交通;こうつう;транспорт
文通;ぶんつう;переписка, корреспонденция
通学;つうがく;посещать школу, университет
見通し;みとおし;видимость, перспектива, открытый вид
進歩;しんぽ;развитие, прогресс
進行;しんこう;продвижение, движение вперед
起源;きげん;происхождение, начало, источник
起点;きてん;отправной пункт, исходная точка
早起き;はやおき;ранний подъем, ранняя пташка, тот, кто рано встает
回送;かいそう;перевозка, транспортировка
送金;そうきん;денежный перевод
送別会;そうべつかい;прощальная вечеринка
見送る;みおくる;провожать
運転;うんてん;вождение
運転手;うんてんしゅ;водитель
運送;うんそう;перевозка, транспортировка
不運;ふうん;невезение
走路;そうろ;беговая дорожка, трек
走り回る;はしりまわる;обегать что-либо, бегать вокруг чего-либо
公開;こうかい;открытый, публичный
開会;かいかい;открытие собрания, встречи
開発;かいはつ;разработка, освоение
思考;しこう;мысль, размышление
考案;こうあん;идея, концепция
考古学;こうこがく;археология
最終;さいしゅう;самый последний, заключительный
終点;しゅうてん;конечный пункт, конечная станция
終日;しゅうじつ;весь (целый) день
死後;しご;после смерти
死語;しご;мертвый язык
