# 13 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

合意;ごうい;согласие
場合;ばあい、ばわい;случай, дело
間に合う;まにあう;успеть, быть достаточным
体力;たいりょく;физическая сила
水力;すいりょく;гидроэнергия
全力;ぜんりょく;все силы, все усилия
台所;だいどころ;кухня
台風;たいふう;тайфун
天文台;てんもんだい;обсерватория
不足;ふそく;нехватка, недостаток
不十分;ふじゅうぶん;недостаточность, неполнота, несовершенство
人事;じんじ;кадры, персонал
家事;かじ;домашние дела, домашнее хозяйство
火事;かじ;пожар
大事;だいじ;большое, важное дело
元日;がんじつ;Первый день Нового года
元気;げんき;бодрость, жизненная энергия
地元;じもと;местный, локальный
主人;しゅじん;муж
主人公;しゅじんこう;главный герой, персонаж
地主;じぬし;землевладелец
同時に;どうじに;одновременно
同意;どうい;соглашение, согласие
同居;どうきょ;жить в одном доме, жить вместе с
去年;きょねん;прошлый год
過去;かこ;прошлое
立ち去る;たちさる;уйти, покинуть
世代;せだい;поколение
世界;せかい;мир
中世;ちゅうせい;средние века
出世;しゅっせ;успех в жизни, карьера
