# 06 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

家事;かじ;домашние дела, домашнее хозяйство
家内;かない;жена (своя)
家を建てる;いえをたてる;построить дом
家族;かぞく;семья
親族;しんぞく;родственник
民族;みんぞく;нация, народ
部屋;へや;комната
八百屋;やおや;овощная лавка
屋上;おくじょう;крыша
和室;わしつ;комната в японском стиле
洋室;ようしつ;комната в европейском стиле
室内;しつない;внутри комнаты, помещения
集中;しゅうちゅう;концентрация, фокус
収集;しゅうしゅう;сбор, коллекционирование
特集;とくしゅう;спецальная редакция
大好き;だいすき;очень любить что-либо
好物;こうぶつ;любимое блюдо, пища
義弟;ぎてい;сводный младший брат
弟子;でし;ученик, последователь
姉妹;しまい;сестры
姉妹都市;しまいとし;города-побратимы
義姉;ぎし;сводная старшая сестра
お姉さん;おねえさん;старшая сестра (чужая или обращение к своей)
兄弟;きょうだい;братья, братья и сестры
義兄;ぎけい;сводный старший брат
お兄さん;おにいさん;старший брат (чужой или обращение к своему)
