# 18 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

大洋;たいよう;океан
西洋;せいよう;Запад, Европа и Америка
洋服;ようふく;европейская одежда
映画;えいが;кино, фильм
反映;はんえい;отражение
建設;けんせつ;строительство, конструкция
建立（＋する）;こんりゅう（する）;воздвигнуть, построить
建物;たてもの;здание
教室;きょうしつ;аудитория
教会;きょうかい;церковь
教科書;きょうかしょ;учебник
支持;しじ;поддержка, опора
持ち主;もちぬし;хозяин, владелец
気持ち;きもち;настроение, самочувствие
帰国;きこく;возвращение на родину
帰宅;きたく;возвращение домой
日帰り;ひがえり;однодневный (выезд, путешествие и т.д.)
衣服;いふく;одежда
洋服;ようふく;европейская одежда
和服;わふく;японская одежда, кимоно
心服;しんぷく;преданность, уважение, послушание
食堂;しょくどう;столовая
本堂;ほんどう;главный храм
一度;いちど;один раз, однажды
今度;こんど;следующий раз
歩道;ほどう;тротуар
一歩;いっぽ;(один) шаг
歩行者;ほこうしゃ;пешеход
