# 19 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

工場;こうじょう;завод, фабрика
場所;ばしょ;место
立場;たちば;положение, позиция, точка зрения
勉強;べんきょう;учеба, обучение
勤勉;きんべん;трудолюбие, усердие, старание
工業;こうぎょう;промышленность, индустрия
産業;さんぎょう;производство, промышленность
事業;じぎょう;дело, предприятие, бизнес
意見;いけん;мнение, взгляд, убеждение
意味;いみ;значение, смысл
用意;ようい;подготовка, готовность
世界;せかい;мир, свет
世界史;せかいし;мировая история
学界;がっかい;научный (академический) мир
漢字;かんじ;китайские иероглифы
漢文;かんぶん;китайское письмо, к. литература
漢時代;かんじだい;эпоха династии Хань
水田;すいでん;заливное поле
田中;たなか;Танака (фамилия)
下田;しもだ;Симода (город на полуострове Идзу)
特別な;とくべつな;особый, специальный
特徴;とくちょう;особенность, отличительная черта
独特の;どくとくの;специфический, особый
歌手;かしゅ;певец, певица
国歌;こっか;государственный гимн
短歌;たんか;стихи "танка"
曜日;ようび;день недели
月曜日;げつようび;понедельник
日曜日;にちようび;воскресенье
