# 17 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

土地;とち;земля, участок, почва
地下;ちか;недра, подземный, подпольный
地下鉄;ちかてつ;метро
地方;ちほう;регион
終止;しゅうし;конец, окончание
休止;きゅうし;приостановка, перерыв
不正;ふせい;несправедливость
正面;しょうめん;передняя часть, фасад
正月;しょうがつ;Новый Год, январь
注意;ちゅうい;внимание, осторожность, замечание
注目;ちゅうもく;внимание
注文;ちゅうもん;заказ
声明;せいめい;декларация, заявление
音声学;おんせいがく;фонетика
大きな声で;おおきなこえで;громким голосом
文字;もじ;знаки, буквы
国字;こくじ;национальное письмо, иероглифы японского происхождения
十字;じゅうじ;крест
引力;いんりょく;притяжение, сила тяжести
引用;いんよう;цитата
引き出し;ひきだし;выдвижной ящик
早々;そうそう;скоро, немедленно, сразу
早めに;はやめに;рано, заранее
手早い;てばやい;быстрый, ловкий
文学;ぶんがく;литература
文明;ぶんめい;цивилизация
国有;こくゆう;государственный
私有;しゆう;частная собственность
有名な;ゆうめいな;известный, знаменитый
