# 02 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

親切な;しんせつな;добрый, дружелюбный
親子;おやこ;родители и дети
母親;ははおや;мама, мать
新聞;しんぶん;газета
古新聞;ふるしんぶん;старые газеты
新年;しんねん;Новый Год
新人;しんじん;новичок
古本;ふるほん;старая книга
古文;こぶん;классическая литература, средневековая классика
古語;こご;устаревшее слово
悪化;あっか;ухудшение
最悪;さいあく;наихудший случай, в наихудшем случае
悪人;あくにん;злой, плохой человек
黒白;くろしろ;черно-белый
黒板;こくばん;доска (классная, черная)
赤十字;せきじゅうじ;Красный Крест
赤道;せきどう;Экватор
赤ちゃん;あかちゃん;младенец
青年;せいねん;юношество, молодежь, юноша
青空;あおぞら;голубое небо
青信号;あおしんごう;зеленый светофор
青物;あおもの;зелень, овощи
音楽;おんがく;музыка
文楽;ぶんらく;японский кукольный театр Бунраку
楽天家;らくてんか;оптимист
広告;こうこく;реклама
広大な;こうだいな;обширный, огромный
広場;ひろば;площадь, сквер
近所;きんじょ;окрестности
最近;さいきん;недавно
近代;きんだい;современное время
近道;ちかみち;короткий путь, короткая дорога
