# 03 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

太平洋;たいへいよう;Тихий Океан
皇太子;こうたいし;наследный принц
太古;たいこ;глубокая древность
強弱;きょうじゃく;сила и слабость
弱点;じゃくてん;слабое / больное место
弱気;よわき;малодушие
強力;きょうりょく;сила, мощь
強国;きょうこく;сильное государство
強情;ごうじょう;упрямство, упорство
軽食;けいしょく;легкая пища / блюдо
気軽;きがる;жизнерадостный, веселый
手軽;てがる;легкий, простой
体重;たいじゅう;вес тела
重力;じゅうりょく;гравитация
暗黒;あんこく;тьма, темнота, мрак
暗室;あんしつ;темная комната
暗号;あんごう;шифр, код, пароль
明くる日;あくるひ;другой / следующий день
明日;みょうにち、あした;завтра
寒暑;かんしょ;холод и жара
暑気;しょき;жара
蒸し暑い;むしあつい;душный
長短;ちょうたん;длина, достоинства и недостатки
短気;たんき;вспыльчивость, горячность
短期;たんき;короткий срок
短所;たんしょ;недостаток, слабая сторона
遠方;えんぽう;отдалённость, даль
遠足;えんそく;экскурсия, пикник, поездка
遠回り;とおまわり;объезд, обход, окольная дорога
