# 00 - All Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning
洋;ヨウ;;Океан, иностранный, западный
映;エイ;うつ・す、うつ・る、は・える;Отразиться, получаться, сверкать
建;ケン、コン;た・てる　、た・つ;строить
教;キョウ;おし・える、おそ・わる;Учить, обучать
持;ジ;もつ;Иметь, быть, держать
帰;キ;か・える、かえ・す;Возвращаться, вернуться
服;フク;;Одежда, платье, костюм
堂;ドウ;;Храм, помещение, зал
度;ド;たび;Градус, раз, мера, степень
歩;ホ、ブ;ある・く、あゆ・む;Ходить пешком

# 19
場;ジョウ;ば;Место
勉;ベン;;Старание, тяжелая работа
業;ギョウ、ゴウ;わざ;занятие, дело, профессия, предприятие
意;イ;;Внимание, мысль, смысл, намерение
界;カイ;;Мир
漢;カン;;Хань (китайская династия), Китай
田;デン;た;Рисовое поле
特;トク;;Специальный, особенный
歌;カ;うた、うた・う;Песня
曜;ヨウ;;День недели

# 21
真;シン;ま、まこと;Правда, истина
者;シャ;もの;Человек, некто
自;ジ、シ;みずか・ら;Сам, лично
研;ケン;と・ぐ;Точить, шлифовать, править
究;キュウ;きわ・める;Исследовать, мастерски овладеть
着;チャク、ジャク;き・る、き・せる、つ・く、つ・ける;Прибытие, прибывать, надевать
色;ショク、シキ;いろ;Цвет, колорит
発;ハツ、ホツ;;Отправляться, отбывать
英;エイ;はなぶさ、ひい・でる;Англия, выдающийся
画;ガ、カク;え、えが・く、か・く;Картина, рисунок, живопись

# 22
茶;チャ、サ;;Чай
紙;シ;かみ;Бумага
計;ケイ;はか・る、はか・らう;План, измерять, итог, в целом
貨;カ;;Вещи, собственность
答;トウ;こた・え、こた・える;Ответ, отвечать
習;シュウ;なら・う;Изучать
説;セツ、ゼイ;と・く;Мнение, взгляд, теория
質;シツ、シチ;;Качество, характер
試;シ;こころ・みる、ため・す;Пробовать, испытать
転;テン;ころ・ぶ、ころ・がる、ころ・がす;Упасть, опрокинуться, катиться

#23
音;オン、イン;おと、ね;Звук
都;ト、ツ;みやこ;Столица
験;ケン、ゲン;;Эффект, тестирование
飯;ハン;めし;Пища, приготовленный рис
銀;ギン;;Серебро
題;ダイ;;Тема, топик
