# 14 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

医学;いがく;медицина
医学部;いがくぶ;медицинский факультет
医者;いしゃ;врач, доктор
病気;びょうき;болезнь
重病;じゅうびょう;серьезная (тяжелая) болезнь
病人;びょうにん;больной, пациент
病院;びょういん;больница
入院;にゅういん;госпитализация
大学院;だいがくいん;аспирантура
出産;しゅっさん;рождение, роды
生産;せいさん;производство
産物;さんぶつ;продукт, продукция
料理;りょうり;еда, пища, кухня
料金;りょうきん;плата, оплата
有料;ゆうりょう;платно, платный
無料;むりょう;бесплатно, бесплатный
中心;ちゅうしん;центр, середина
本心;ほんしん;истинное намерение, совесть, искренность
首相;しゅしょう;Премьер-министр
手首;てくび;запястье
部首;ぶしゅ;ключ иероглифа
出頭;しゅっとう;явка
口頭;こうとう;устный, вербальный
顔面;がんめん;лицо
顔色;かおいろ;вид, выражение лица
新顔;しんがお;новое лицо, новичок
日本風;にほんふう;японский стиль
風土;ふうど;климат
台風;たいふう;тайфун
