# 21 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

真実;しんじつ;правда, факт, действительность
真理;しんり;правда, истина
写真;しゃしん;фотография
記者;きしゃ;журналист
若者;わかもの;молодежь, молодой человек
医者;いしゃ;доктор, врач
自由;じゆう;свобода, независимость
自国;じこく;своя страна
自慢;じまん;хвастовство, самодовольство, гордость
自然;しぜん;природа
研究;けんきゅう;исследование
研磨;けんま;полировка, шлифование
研究;けんきゅう;исследование
究極の;きゅうきょくの;последний, конечный, крайний
到着;とうちゃく;прибытие
着陸;ちゃくりく;приземление, посадка
着物;きもの;кимоно
寒色;さむいろ;холодный цвет
黄色;きいろ;желтый цвет
色刷り;いろずり;цветная печать
色々な;いろいろな;разный, разнообразный
出発;しゅっぱつ;отправление, отъезд
発達;はったつ;развитие, прогресс
自発的;じはつてき;спонтанно, добровольно
英語;えいご;английский язык
英字;えいじ;английский алфавит
動画;どうが;анимация, видео
映画;えいが;фильм, кино
