# 11 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

一方;いっぽう;с одной стороны (вводное слово)
四方;しほう;север, юг, запад, восток; все направления
方言;ほうげん;диалект
地区;ちく;участок, район
区間;くかん;участок пути, секция, сегмент
北区;きたく;район Кита (Токио)
町民;ちょうみん;городское население, горожанин
町人;ちょうにん;горожанин (в эпоху Эдо)
下町;したまち;торговая, рабочая часть города
市長;しちょう;мэр
市立;しりつ;городской, муниципальный
市場;いちば・しじょう;рынок
村人;むらびと;житель деревни
村長;そんちょう;глава деревни
市町村;しちょうそん;крупные города, мелкие города и деревни
県立;けんりつ;учрежденный префектурой
県会;けんかい;префектурный совет
愛知県;あいちけん;префектура Айти
東京;とうきょう;Токио
京都;きょうと;Киото
北京;ぺきん;Пекин
旅行;りょこう;путешествие
旅行者;りょこうしゃ;путешественник, турист
旅先;たびさき;место назначения, конечный пункт
場所;ばしょ;место
所長;しょちょう;начальник, руководитель
発電所;はつでんしょ;электростанция
地図;ちず;карта
図表;ずひょう;диаграмма, график, таблица
図書館;としょかん;библиотека
