# 05 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

林;はやし;роща
山林;さんりん;горные леса, горы и лес
森;もり;лес
森林;しんりん;лес (более официально)
夏;なつ;лето
立夏;りっか;начало лета
夏休み;なつやすみ;летние каникулы
秋;あき;осень
秋風;あきかぜ;осенний ветер
秋気;しゅうき;осенний воздух
冬;ふゆう;зима
冬空;ふゆうぞら;зимнее небо
立冬;りっとう;первый день зимы
春;はる;весна
春分の日;しゅんぶんのひ;день весеннего равноденствия
朝;あさ;утро
朝日;あさひ;восход солнца
朝食;ちょうしょく;завтрак
昼;ひる;полдень, дневное время
昼食;ちゅうしょく;обед
昼休み;ひるやすみ;дневной отдых, обеденный перерыв
夕方;ゆうがた;вечер, сумерки
夕日;ゆうひ;заходящее солнце
夜;よる;вечер, ночь
夜明け;よあけ;рассвет
