# 07 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

始める;はじめる;начать, открыть, приняться за что-либо
始まる;はじまる;начаться, открыться, наступить
開始;かいし;открытие, начало, вступление
始終;しじゅう;с начала до конца, все время, постоянно
急ぐ;いそぐ;спешить, торопиться
急行の;きゅうこうの;срочный, скорый
急用;きゅうよう;срочное дело
待つ;まつ;ждать, ожидать
期待;きたい;ожидание
待合室;まちあいしつ;комната ожидания
思う;おもう;думать, верить, предполагать
思い出;おもいで;воспоминания
思い出す;おもいだす;вспомнить
知る;しる;знать, узнавать
お知らせ;おしらせ;сообщение, уведомление
通知;つうち;извещение, уведомление
知人;ちじん;знакомый
知り合い;しりあい;знакомство, знакомый
動く;うごく;двигаться, перемещаться
動かす;うごかす;двигать, перемещать
動物;どうぶつ;животное
自動車;じどうしゃ;автомобиль
切る;きる;резать, рубить, отрезать
切れる;きれる;хорошо резать, быть острым, разорваться, прерваться
大切;たいせつ;важный
一切れ;ひときれ;кусок
洗う;あらう;мыть, смыть, умывать
洗剤;せんざい;моющее средство
お手洗い;おてあらい;туалет, уборная
乗る;のる;ехать в/на чем-либо, сесть во/на что-либо
乗用車;じょうようしゃ;легковой автомобиль
売る;うる;продавать
売店;ばいてん;киоск, лавка, ларек
売り切れ;うりきれ;быть распроданным
