# 01 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

仕方;しかた;способ, средство
仕事;しごと;работа, дело, занятие
仕上げる;しあげる;завершить, закончить
時代;じだい;эра, эпоха, период
平安時代;平安時代;эпоха Хэйан (794 - 1185)
世代;せだい;поколение
代理;だいり;представительство, агент
最低;さいてい;минимум
低下;ていか;понижение, падение
低地;ていち;низменность, низина
住所;じゅうしょ;адрес
住民;じゅうみん;население, жители
住宅;じゅうたく;дом, квартира
安住;あんじゅう;спокойная жизнь
身体;しんたい;тело
体育;たいいく;физкультура
体験;たいけん;опыт
作家;さっか;писатель
作品;さくひん;произведение
作り方;つくりかた;способ изготовления
使用;しよう;использование
大使;たいし;посол
天使;てんし;ангел
使い道;つかいみち;применение
便利;べんり;удобство
不便;ふべん;неудобство
便所;べんじょ;туалет
郵便;ゆうびん;почта
借金;しゃっきん;долг
借地;しゃくち;арендованная земля
借り賃;かりちん;арендная плата
働き;はたらき;достижения, заслуги
労働;ろうどう;труд
働き者;はたらきもの;трудолюбивый человек
