# 10 - Kanji Vocabulary;;
* Kanji;Kana;Meaning

人物;じんぶつ;человек, индивидуальность, персонаж
生物;せいぶつ;живое существо
見物;けんぶつ;осмотр достопримечательностей
物語;ものがたり;рассказ, повесть, роман
本物;ほんもの;настоящая вещь
日光;にっこう;солнечный свет
月光;げっこう;лунный свет
光年;こうねん;световой год
大海;たいかい;океан
海外;かいがい;заграница
日本海;にほんかい;Японское море
池;いけ;пруд
電池;でんち;батарейка
池田;いけだ;Икэда (японская фамилия)
犬;いぬ;собака
番犬;ばんけん;сторожевая собака
愛犬;あいけん;любимая собака
小犬;こいぬ;маленькая собака, щенок
犬小屋;いぬごや;будка для собаки
牛肉;ぎゅうにく;говядина
野牛;やぎゅう;бизон
子牛;こうし;теленок
白鳥;はくちょう;лебедь
野鳥;やちょう;дикая птица
鳥居;とりい;ворота синтоистского храма "тории"
肉屋;にくや;мясная лавка
豚肉;ぶたにく;свинина
鳥肉;とりにく;мясо птицы
肉親;にくしん;кровное родство
肉筆;にくひつ;автограф, собственная надпись
野生;やせい;дикий, дикорастущий
分野;ぶんや;сфера, область
野菜;やさい;овощи
菜園;さいえん;овощной сад
菜食;さいしょく;вегетарианская пища
