# JLPT N5 Nouns;;
* 文法;Noun;Meaning
今週;konshuuこんしゅう;this week
コーヒー;koohii;Coffee
コート;kooto;coat
コピー;kopii;copy, photocopy
コップ;koppu;glass (drinking vessel), tumbler
言葉;kotobaことば;word, words
今年;kotoshiことし;this year
交番;koubanこうばん;police box
紅茶;kouchaこうちゃ;black tea
公園;kouenこうえん;park
交差点;kousatenこうさてん;intersection
口;kuchiくち;mouth, opening
果物;kudamonoくだもの;fruit
曇り;kumoriくもり;cloudiness, cloudy weather
国;kuniくに;country, state, region
クラス;kurasu;class
黒;kuroくろ;black
車;kurumaくるま;car, automobile, vehicle
薬;kusuriくすり;medicine
靴;kutsuくつ;shoes
靴下;kutsushitaくつした;socks
去年;kyonenきょねん;last year
今日;kyouきょう;today, this day
兄弟;kyoudaiきょうだい;siblings, brothers and sisters, mate
教室;kyoushitsuきょうしつ;classroom
九;kyuuきゅう;nine, 9
マッチ;macchi;match
町;machiまち;town, block, neighborhood
窓;madoまど;window
前;maeまえ;previous, before, in front, ago
毎朝;maiasaまいあさ;every morning
毎晩;maibanまいばん;every night
毎日;mainichiまいにち;every day
毎週;maishuuまいしゅう;every week
毎年;maitoshi / mainenまいとし / まいねん;every year, yearly, annually
毎月;maitsukiまいつき;every month, monthly
万;manまん;10,000, ten thousand
万年筆;mannenhitsuまんねんひつ;fountain pen
真っ直ぐ;massuguまっすぐ;straight ahead,direct
目;meめ;eye
メートル;meetoru;metre, meter
眼鏡;meganeめがね;glasses
道;michiみち;road, street
緑;midoriみどり;green
右;migiみぎ;right, right hand side
三日;mikkaみっか;the third day of the month / 3 days
耳;mimiみみ;ear, hearing
南;minamiみなみ;south
皆さん;minasanみなさん;everyone
みんな;minna;all, everyone, everybody
店;miseみせ;store, shop, establishment, restaurant
三つ;mittsuみっつ;three, 3
水;mizuみず;water, fluid, liquid
木曜日;mokuyoubiもくようび;Thursday
門;monもん;gate
問題;mondaiもんだい;problem, question (e.g. on a test)
物;monoもの;thing
六日;muikaむいか;sixth day of the month / 6 days
向こう;mukouむこう;over there
村;muraむら;village
六つ;muttsuむっつ;six, 6
ナイフ;naifu;knife
中;nakaなか;inside, in, within, center
名前;namaeなまえ;name, full name, given name
七つ;nanatsuななつ;seven, 7
七日;nanokaなのか;seventh day of the month / 7 days
夏;natsuなつ;summer
夏休み;natsuyasumiなつやすみ;summer vacation, summer holiday
猫;nekoねこ;cat
ネクタイ;nekutai;tie, necktie
二;niに;two, 2
日曜日;nichiyoubiにちようび;Sunday
日記;nikkiにっき;diary, journal
肉;nikuにく;meat
荷物;nimotsuにもつ;luggage, baggage
西;nishiにし;west
庭;niwaにわ;garden
飲み物;nomimonoのみもの;drink, beverage
ノート;nooto;notebook
ニュース;nyuusu;news
おばあさん;obaasan;grandmother
伯母さん;obasanおばさん;aunt, old lady
お弁当;obentouおべんとう;lunch box, Japanese box lunch
お茶;ochaおちゃ;tea
お風呂;ofuroおふろ;bath
伯父さん;ojisanおじさん;uncle, old man, mister
お母さん;okaasanおかあさん;mother, mom, mum, ma
お金;okaneおかね;money
お菓子;okashiおかし;confections, sweets, candy
奥さん;okusanおくさん;wife, your wife, his wife
お巡りさん;omawari sanおまわりさん;police officer (friendly term for policeman)
同じ;onajiおなじ;same
お腹;onakaおなか;stomach
お姉さん;oneesanおねえさん;elder sister, young lady, miss, ma'am
音楽;ongakuおんがく;music
お兄さん;oniisanおにいさん;older brother, elder brother, young man, buddy
女;onnaおんな;woman, female sex
女の子;onnanokoおんなのこ;girl, daughter, young women
大勢;oozeiおおぜい;crowd of people, great number of people
お酒;osakeおさけ;alcohol
お皿;osaraおさら;plate, dish
お手洗い;otearaiおてあらい;toilet, restroom, lavatory, bathroom
男;otokoおとこ;man, male
男の子;otokonokoおとこのこ;boy, male child, baby boy
大人;otonaおとな;adult
一昨日;ototoiおととい;day before yesterday
一昨年;ototoshiおととし;year before last
お父さん;otousanおとうさん;father, dad, papa, pa, pop, daddy
弟;otoutoおとうと;younger brother
パーティー;paatii;party
パン;pan;bread
ページ;peeji;page
ペン;pen;pen
ペット;petto;pet
ポケット;poketto;pocket
ポスト;posuto;post
プール;puuru;swimming pool
来月;raigetsuらいげつ;next month
来年;rainenらいねん;next year
来週;raishuuらいしゅう;next week
ラジオ;rajiio;radio
零;reiれい;zero
冷蔵庫;reizoukoれいぞうこ;refrigerator
レコード;rekoodo;record
練習;renshuuれんしゅう;practice, practicing
レストラン;resutoran;restaurant
六;rokuろく;six, 6
廊下;roukaろうか;corridor, hallway, passageway
旅行;ryokouりょこう;travel, trip, journey, excursion, tour
料理;ryouriりょうり;cuisine
両親;ryoushinりょうしん;parents, both parents
留学生;ryuugakuseiりゅうがくせい;overseas student, exchange student
財布;saifuさいふ;purse, wallet
魚;sakanaさかな;fish
先;sakiさき;previous, prior, first, earlier
作文;sakubunさくぶん;writing, composition
三;sanさん;three, 3
散歩;sanpoさんぽ;walk, stroll
再来年;sarainenさらいねん;year after next
砂糖;satouさとう;sugar
背;seせ;height, stature, back, spine
背広;sebiroせびろ;business suit
セーター;seetaa;sweater, jumper
生徒;seitoせいと;pupil, student
石鹼;sekkenせっけん;soap
千;senせん;1,000, thousand
先月;sengetsuせんげつ;last month
先生;senseiせんせい;teacher, instructor, master
先週;senshuuせんしゅう;last week
洗濯;sentakuせんたく;washing, laundry
写真;shashinしゃしん;photograph, photo
シャツ;shatsu;shirt
シャワー;shawaa;shower
四;shiし;four, 4
七;shichiしち;seven, 7
仕事;shigotoしごと;work, job, business
新聞;shinbunしんぶん;newspaper
塩;shioしお;salt
白;shiroしろ;white, innocence, innocent person
下;shitaした;below, down, under, bottom
質問;shitsumonしつもん;question, inquiry
食堂;shokudouしょくどう;cafeteria, dining room
醬油;shouyuしょうゆ;soy sauce
宿題;shukudaiしゅくだい;homework, assignment, pending issue
そば;soba;near, beside
空;soraそら;sky, the air
外;sotoそと;outside, exterior,
掃除;soujiそうじ;to clean, to sweep
水曜日;suiyoubiすいようび;Wednesday
スカート;sukaato;skirt
好き;sukiすき;like
少し;sukoshiすこし;a little (bit), small quantity, few, short distance
スポーツ;supootsu;sport, sports
スプーン;supuun;spoon
スリッパ;surippa;slipper, slippers
ストーブ;sutoobu;heater, stove
たばこ;tabako;tobacco, cigarette
食べ物;tabemonoたべもの;food
大変;taihenたいへん;very, greatly, terribly, serious, difficult
大切;taisetsuたいせつ;important, necessary, indispensable, beloved
大使館;taishikanたいしかん;embassy
沢山;takusanたくさん;many
タクシー;takushii;taxi
卵;tamagoたまご;eggs, egg
誕生日;tanjoubiたんじょうび;birthday
縦;tateたて;length,height
建物;tatemonoたてもの;building
手;teて;hand, arm
テーブル;teeburu;table
テープ;teepu;tape
テープレコーダー;teepu rekoodaa;tape recorder
手紙;tegamiてがみ;Letter (message)
天気;tenkiてんき;weather, the elements
テレビ;terebi;television, TV
テスト;tesuto;examination, quiz, test
戸;toと;Japanese style door
トイレ;toire;toilet
時計;tokeiとけい;watch, clock, timepiece
時;tokiとき;time, moment, occasion, chance
時々;tokidokiときどき;sometimes, at times
所;tokoroところ;place
友達;tomodachiともだち;friend, companion
隣;tonariとなり;next door to
十日;tookaとおか;tenth day of the month / 10 days
鳥;toriとり;bird
鶏肉;torinikuとりにく;chicken meat
年;toshiとし;year, age
図書館;toshokanとしょかん;library
次;tsugiつぎ;next
一日;tsuitachiついたち;first day of the month
机;tsukueつくえ;desk
上;ueうえ;above, up, over, top, surface
海;umiうみ;sea
後ろ;ushiroうしろ;back, behind, rear
歌;utaうた;song
上着;uwagiうわぎ;coat, tunic, jacket, outer garment
ワイシャツ;wai shatsu;shirt
山;yamaやま;mountain, hill
八百屋;yaoyaやおや;greengrocer, fruit and vegetable shop, versatile
野菜;yasaiやさい;vegetable
休み;yasumiやすみ;rest, vacation, holiday
八つ;yattsuやっつ;eight: 8
四日;yokkaよっか;fourth day of the month / 4 days
横;yokoよこ;beside,side,width
夜;yoruよる;evening, night
四つ;yotsuよつ;four, 4
洋服;youfukuようふく;western clothes
八日;youkaようか;eighth day of the month / 8 days
雪;yukiゆき;snow
昨夜;yuubeゆうべ;last night
郵便局;yuubinkyokuゆうびんきょく;post office
夕方;yuugataゆうがた;evening, dusk
夕飯;yuuhanゆうはん;evening meal
有名;yuumeiゆうめい;famous
雑誌;zasshiざっし;magazine
全部;zenbuぜんぶ;all
ゼロ;zero;zero
ズボン;zubon;trousers, pants
