# 13 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

実;ジツ;み、みのる;плод, суть, содержание
定;テイ、ジョウ;さだめる、さだまる、さだか;устанавливать, определять
岸;ガン;きし;берег
幸;コウ;さいわい、さち、しあわせ;счастье, благополучие
府;フ;;город со статусом префектуры, правительство, центр, средоточение
性;セイ、ショウ;;пол, гендер, характер
念;ネン;;мысль, сознание, чувство, внимание, забота, желание
放;ホウ;はなす、はなつ、はなれる、ほうる;отпускать [на свободу], испускать (свет)
易;エキ、イ;やさしい;легкий, простой
昔;セキ、シャク;むかし;старые времена
