# 31 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

愛;アイ;;любовь
感;カン;;чувство, эмоция, ощущение
想;ソウ、ソ;;представление, воображение, воспоминание, идея, мысль
戦;セン;いくさ、たたかう;война, сражение
数;スウ、ス;かず、かぞえる;число, количество
極;キョク、ゴク;きわめる、きわまる、きわみ;высшая точка, полюс,доводить до крайности
歳;サイ、セイ;;возраст
準;ジュン;;стандарт, норма, критерий, неполный, квази-, полу-, подготовка
禁;キン;;запрет
福;フク;;счастье, благополучие, удача
