# 29 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

給;キュウ;;снабжать
結;ケツ;むすぶ、ゆう、ゆわえる;связывать, заключать, делать прическу
葉;ヨウ;は　葉 листва, листья;
落;ラク;おちる、おとす;падать, спускаться,ронять, сбрасывать
覚;カク;おぼえる、さます、さめる;помнить, чувствовать,будить, отрезвлять,просыпаться
象;ショウ;;явление, объект
費;ヒ;ついやす、ついえる;тратить, уменьшаться
貿;ボウ;;торговля
違;イ;ちがう、ちがえる;отличаться, другой,изменять, ошибаться
過;カ;すぎる、すごす、あやまつ、あやまち;миновать, проводить (время), превышать, переходить предел
