# 37 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

識;シキ;;знание, образование
願;ガン;ねがう;просить
競;キョウ、ケイ;きそう、せる;состязаться,делать ставки, соперничать
議;ギ;;обсуждение
