# 15 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

若;ジャク、ニャク;わかい、もしくは;молодой
表;ヒョウ;おもて、あらわす、あらわれる;таблица, диаграмма, наружность
非;ヒ;;не
係;ケイ;かかる、かかり;работать, влиять, ответственность
信;シン;;верность, искренность
保;ホ;たもつ;сохранять, удерживать, поддерживать
則;ソク;;правило, закон
単;タン;;одиночный
型;ケイ;かた;тип, форма
変;ヘン;かわる、かえる;изменяться, отличаться, быть странным
