# 03 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

史;シ;;история
央;オウ;;центр
失;シツ;うしなう;терять, утрачивать, лишаться
平;ヘイ、ビョウ;たいら、ひら;плоский, ровный
必;ヒツ;かならず;непременно, обязательно
打;ダ;うつ;бить, стучать, атаковать
末;マツ、バツ;すえ;конец, окончание
未;ミ;;ещё не, всё ещё, до сих пор
犯;ハン;おかす;совершать (проступок), нарушать
申;シン;もうす;говорить, называться
