# 19 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

党;トウ;;политическая партия, группа, любитель чего-л
原;ゲン;はら;равнина, поле
害;ガイ;;вред
容;ヨウ;;вмещать, разрешать, наружность
展;テン;;выставка
島;トウ;しま;остров
差;サ;さす、さす;разница, скрещивать(ся)
師;シ;;учитель, суффикс лица по профессии
席;セキ;;место для сидения
帯;タイ;おび、おびる;пояс,носить (меч и т.п.)
