# 11 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

防;ボウ;ふせぐ;защищаться, предотвращать
並;ヘイ;なみ、ならべる、ならぶ、ならびに;средний уровень, стандарт, ставить в ряд
価;カ;あたい;цена, стоимость, ценность
供;キョウ、ク;そなえる、とも;приносить в жертву (божеству),спутник, свита
例;レイ;たとえる;уподоблять, прибегать к сравнению
具;グ;;орудие
制;セイ;;система, ограничивать, подавлять, держать под контролем
協;キョウ;;сотрудничество
卒;ソツ;;солдат, выпускник, внезапный
参;サン;まいる;идти, посещать, проиграть
