# 06 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

因;イン;よる;проистекать из чего-л.
団;ダン、トン;;группа
在;ザイ;ある;находиться, быть
存;ソン、ゾン;;существовать, жить, думать, полагать
守;シュ、ス;まもる、もり;защищать, хранить, уход
宅;タク;;дом
寺;ジ;てら;буддийский храм
当;トウ;あたる、あてる;попадать, соответствовать
州;シュウ、ス;;провинция, территория, мель
式;シキ;;церемония, акт
