# 24 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

敗;ハイ;やぶれる;терпеть поражение
断;ダン;たつ|ことわる;отрезать, прерывать|отказывать
望;ボウ、モウ;のぞむ;желать, надеяться
混;コン;まぜる、まじる、まざる、こむ;смешивать, подмешивать
済;サイ;すむ、すます;окончиться, обойтись
深;シン;ふかい、ふかまる、ふかめる;глубокий, густой, близкий (об отношениях)
清;セイ、ショウ;きよい、きよまる、きよめる;чистый, очищать
現;ゲン;あらわれる、あらわす;проявляться, обнаруживаться
移;イ;うつる、うつす;переезжать
第;ダイ;;префикс числительных
