# 10 - Kanji;;;
* Kanji;オンヨミ;くんよみ;*Meaning

材;ザイ;;материал, способности
束;ソク;たば;связка
求;キュウ;もとめる;требовать, просить
決;ケツ;きめる、きまる;решение, решающий
状;ジョウ;;форма, положение
良;リョウ;よい;хороший
角;カク;かど、つの;угол,рога
谷;コク;たに;долина, лощина, ущелье
身;シン;み;чьё-л. тело, перен. сам [человек]
返;ヘン;かえす、かえる;возвращать, отплачивать, перевёртывать
